,name,address,city,province,latitude,longitude
25027,pizzahut,14923 Pacific Ave S,Tacoma,WA,47.121221,-122.43437
25028,pizzahut,786 S Church St,Forest City,NC,35.319737,-81.880982
25029,subway,4 Mifflintown Commons,Mifflintown,PA,40.583393,-77.36972
25030,mcdonalds,501 Westbank Expy,Westwego,LA,29.899983,-90.146592
25031,wafflehouse,3651 Airport Blvd,Mobile,AL,30.675194,-88.131162
25032,pizzahut,107 N Goose Creek Blvd,Goose Creek,SC,32.998514,-80.038907
25033,burgerking,625 Peoria St,Aurora,CO,39.726434,-104.847722
25034,paexpress,85 Maxtown Rd,Westerville,OH,40.146314,-82.922169
25035,dairyqueen,822 Winchester Ave,Martinsburg,WV,39.448833,-77.979218
25036,subway,3362 Warren Rd,Cleveland,OH,41.462409,-81.802945
25037,subway,1483 Nashville Pike,Gallatin,TN,36.360887,-86.49621
25038,mcdonalds,1200 League Line Rd,Conroe,TX,30.36724,-95.483827
25039,smithfieldschickennbarbq,2102 W Cumberland St,Dunn,NC,35.321235,-78.635393
25040,wafflehouse,936 Jake Alexander Blvd,Salisbury,NC,35.643307,-80.481876
25041,pizzahut,3831 Grandview Dr,Simpsonville,SC,34.718068,-82.257356
25042,subway,17211 Beach Blvd,Huntington Beach,CA,33.712448,-117.98951
25043,pizzahut,4125 Old Tar Rd Ste K,Winterville,NC,35.549692,-77.383648
25044,dominospizza,300 Railroad St,Danville,PA,40.95782,-76.6115
25045,pennstationeastcoastsubs,4820 W 57th St,Indianapolis,IN,39.856323,-86.241535
25046,hardees,2525 Cobbs Ford Rd,Prattville,AL,32.460653,-86.393919
25047,burgerking,23682 S Power Rd,Queen Creek,AZ,33.233705,-111.686524
25048,wendys,10220 Sunrise Blvd E,Puyallup,WA,47.098203,-122.292857
25049,firehousesubs,621 Cortez Rd W,Bradenton,FL,27.461775,-82.5685
25050,pizzahut,1031 Oak Harbor Rd,Fremont,OH,41.357787,-83.136371
25051,wafflehouse,500 E Bowman Rd,Little Rock,AR,34.750103,-92.407465
25052,carlsjr,17029 SE 272nd St,Kent,WA,47.357805,-122.114682
25053,mcdonalds,3342 Point Mallard Pkwy SE,Decatur,AL,34.536174,-86.908218
25054,bojanglesfamouschickennbiscuits,5321 Old Dowd Road,Charlotte,NC,35.228982,-80.925877
25055,subway,13174 Big Bend Rd.,Riverview,FL,27.792938,-82.333232
25056,burgerking,6003 19th St,Lubbock,TX,33.577306,-101.947757
25057,subway,6629 Engle Rd,Cleveland,OH,41.38823,-81.82332
25058,subway,271 West Rd,Ocoee,FL,28.603815,-81.548891
25059,dominospizza,726 W 3rd Ave,Spokane,WA,47.653693,-117.423229
25060,sonicdrivein,1307 S Gordon St,Alvin,TX,29.413399,-95.243273
25061,popeyeslouisianakitchen,435 Winton Pkwy,Livingston,CA,37.387635,-120.737963
25062,dominospizza,306 Granville Cors,Oxford,NC,36.299202,-78.58525
25063,dairyqueen,24579 Lorain Rd,North Olmsted,OH,41.426706,-81.893963
25064,popeyeslouisianakitchen,3362 W Lawrence Ave,Chicago,IL,41.968459,-87.713156
25065,burgerking,528 Western Ave,Fergus Falls,MN,46.288917,-96.116248
25066,cafestrudel,300 State St,West Columbia,SC,33.991967,-81.056133
25067,sonicdrivein,2008 S Pueblo Blvd,Pueblo,CO,38.232103,-104.661764
25068,oldcountrybuffet,1855 S Stapley Dr,Mesa,AZ,33.380714,-111.806248
25069,mcdonalds,9106 Belair Rd,Nottingham,MD,39.400949,-76.47808
25070,mcdonalds,16908 Parthenia St,North Hills,CA,34.22824,-118.500662
25071,arbys,3158 Stevens Creek Blvd,San Jose,CA,37.323018,-121.952851
25072,qdobamexicaneats,7402 Broadview Rd,Cleveland,OH,41.365112,-81.685438
25073,subway,1411 Lincoln Blvd,Venice,CA,33.997607,-118.460934
25074,subway,2025 S Bridge St,Brady,TX,31.113968,-99.33527
25075,jollibee,32460 Dyer St,Union City,CA,37.597535,-122.070573
25076,wendys,5315 15th Ave NW,Seattle,WA,47.667746,-122.376674
25077,mcdonalds,3255 S 48th St,Tempe,AZ,33.393267,-111.977765
25078,innoutburger,7691 Carson Blvd,Long Beach,CA,33.831131,-118.084953
25079,chipotlemexicangrill,7003 SW Nyberg St,Tualatin,OR,45.383012,-122.7482
25080,subway,101 E Grant Hwy,Marengo,IL,42.248274,-88.608139
25081,churchschicken,4375 Refugee Rd,Columbus,OH,39.915236,-82.880151
25082,sonicdrivein,545 E 5th St,Washington,MO,38.55366,-91.006095
